Protein_id,Gene_id,PxAbundance,GC,TAA,TGA,TAG,Residual,Switch,Recombination
ENSP00000375428,ENSG00000212899,11.1,0.622895622895623,1,0,0,-36.25452871206337,TGA>TAA,0.0
ENSP00000297533,ENSG00000164897,13.1,0.65939577981521,0,0,1,-32.54413749247655,TAG_stay,4.4003025000000004
ENSP00000288937,ENSG00000158042,12.9,0.5768726989521382,1,0,0,-36.611155194137645,TAA_stay,1.0253485
ENSP00000296777,ENSG00000164326,2.21,0.5897435897435898,0,1,0,-46.69802741453771,TGA_stay,0.0
ENSP00000328472,ENSG00000180739,0.613,0.6956849546215007,0,1,0,-43.33063285926434,TGA_stay,0.333235
ENSP00000301071,ENSG00000167552,714,0.5365245127257225,1,0,0,662.5981355795992,TAA_stay,0.0
ENSP00000317333,ENSG00000178403,0.498,0.6898656898656899,0,0,1,-43.7183226278239,TAG_stay,1.5962550000000002
ENSP00000361721,ENSG00000179862,0.196,0.781981981981982,0,1,0,-39.70376865892709,TGA_stay,0.798072
ENSP00000332194,ENSG00000184260,539,0.6282051282051282,1,0,0,491.8942738145048,TAA_stay,0.027062999999999997
ENSP00000332198,ENSG00000182117,35.0,0.4841995841995842,0,1,0,-18.853801778198488,TAA>TGA,0.725914
ENSP00000222728,ENSG00000106006,0.465,0.6182336182336182,0,0,1,-47.10798946709882,TAG_stay,0.0
ENSP00000323423,ENSG00000179615,0,0.443010752688172,1,0,0,-55.78390350125039,TAA_stay,0.0
ENSP00000323423,ENSG00000179615,0,0.443010752688172,1,0,0,-55.78390350125039,TAA_stay,0.0
ENSP00000323355,ENSG00000177558,0.476,0.5855855855855856,1,0,0,-48.626870790650415,TAA_stay,0.3951975
ENSP00000313967,ENSG00000173369,609,0.6056261457594346,0,1,0,560.8362264913824,TGA_stay,0.0
ENSP00000294189,ENSG00000162244,486,0.5377754479644142,0,0,1,434.65675419467107,TAG_stay,0.31551
ENSP00000317714,ENSG00000103496,35.8,0.5967223183069418,1,0,0,-12.781005366798752,TAA>TGA,0.1696405
ENSP00000357442,ENSG00000163348,2.73,0.6234234234234235,0,1,0,-44.59979606802482,TGA_stay,0.0
ENSP00000363250,ENSG00000142751,0.613,0.5955952117136422,0,0,1,-48.020821392356254,TAG_stay,0.086384
ENSP00000351644,ENSG00000130299,4.85,0.6826609164893026,0,1,0,-39.703937097516025,TGA>TAG,0.900333
ENSP00000334708,ENSG00000168890,0.003,0.5740390589963713,1,0,0,-49.64093908628615,TGA>TAA,0.36600900000000003
ENSP00000333948,ENSG00000187051,5.9,0.6579423010079944,0,0,1,-39.81224726513298,TAG_stay,0.3689955
ENSP00000360266,ENSG00000177606,3.12,0.643574297188755,0,1,0,-43.26552950963285,TGA_stay,0.039086
ENSP00000291823,ENSG00000160396,0.596,0.6293895191788222,0,1,0,-46.45422582349877,TGA_stay,7.5187095
ENSP00000287143,ENSG00000156575,2.98,0.5368731563421829,1,0,0,-48.40552703912122,TAA_stay,0.1168995
ENSP00000292377,ENSG00000213420,0.105,0.6306832694763729,1,0,0,-46.88460090196368,TAA_stay,0.308562
ENSP00000356529,ENSG00000143333,0.265,0.5615763546798029,0,1,0,-49.962939316266706,TGA_stay,4.430401
ENSP00000323587,ENSG00000179914,2.56,0.524416135881104,0,1,0,-49.409260924588665,TGA_stay,0.0
ENSP00000266671,ENSG00000139289,0.541,0.6617233119206014,0,1,0,-44.9940697291478,TGA_stay,0.607521
ENSP00000256015,ENSG00000133639,0.284,0.5251937984496124,1,0,0,-51.64881978731059,TAA_stay,0.000247
ENSP00000386201,ENSG00000221855,0.196,0.5010822510822511,0,0,1,-52.866682845122696,TAG_stay,0.571165
ENSP00000321962,ENSG00000176971,0.651,0.5833333333333334,0,0,1,-48.55741095271146,TAG_stay,1.775617
ENSP00000342836,ENSG00000197706,0.609,0.402555910543131,0,1,0,-57.07061060593732,TGA_stay,4.442493
ENSP00000418287,ENSG00000144021,14.5,0.5794117647058824,0,1,0,-34.892174999594225,TGA_stay,0.078429
ENSP00000306887,ENSG00000171202,23.9,0.36903061224489797,0,1,0,-35.35060045043729,TAA>TGA,0.071514
ENSP00000367315,ENSG00000204950,0.028,0.7303754266211604,0,1,0,-42.29004317091701,TGA_stay,0.0945135
ENSP00000419485,ENSG00000174500,1.05,0.4615996284999476,0,0,1,-53.86283190447628,TAA>TAG,0.000117
ENSP00000358160,ENSG00000278828,307,0.635036496350365,0,1,0,260.214390577814,TAA>TGA,0.0
ENSP00000359396,ENSG00000203909,0,0.5754985754985755,0,1,0,-49.57554638825715,TGA_stay,0.0
ENSP00000313079,ENSG00000180730,0.097,0.6463963963963963,1,0,0,-46.156286415002135,TAA_stay,0.0
ENSP00000322801,ENSG00000180988,0,0.4865424430641822,0,1,0,-53.744015805508894,TGA_stay,0.947335
ENSP00000363386,ENSG00000197245,0.524,0.7279411764705882,0,1,0,-41.908111723909514,TGA_stay,0.0
ENSP00000242159,ENSG00000122592,0.734,0.544662463140724,0,1,0,-50.28652143149481,TGA_stay,0.0
ENSP00000351137,ENSG00000076924,12.6,0.6160436137071651,0,1,0,-35.075612711189336,TGA_stay,1.5598155
ENSP00000418693,ENSG00000156253,0.353,0.4375,0,1,0,-55.68913644616428,TGA_stay,1.461969
ENSP00000418693,ENSG00000156253,0.353,0.4375,0,1,0,-55.68913644616428,TGA_stay,1.461969
ENSP00000346954,ENSG00000105518,46.4,0.5861020883682387,0,0,1,-2.67866755705095,TAG_stay,1.0962045
ENSP00000303211,ENSG00000087085,0.329,0.6500475802574106,0,1,0,-45.753192552837824,TGA_stay,0.0
ENSP00000325266,ENSG00000162222,33.1,0.5477563723537864,1,0,0,-17.775541365686358,TAA_stay,0.0
ENSP00000349669,ENSG00000196900,0.268,0.41728395061728396,1,0,0,-56.721457123034455,TGA>TAA,0.0
ENSP00000317170,ENSG00000180346,0.425,0.39543726235741444,1,0,0,-57.588189263667516,TAA_stay,0.7242685
ENSP00000317170,ENSG00000180346,0.425,0.39543726235741444,1,0,0,-57.588189263667516,TAG>TAA,0.7242685
ENSP00000317170,ENSG00000180346,0.425,0.39543726235741444,1,0,0,-57.588189263667516,TAA_stay,0.7242685
ENSP00000357564,ENSG00000143545,26.4,0.5001394866889846,0,1,0,-26.706860626164428,TGA_stay,0.2571045
ENSP00000307241,ENSG00000168291,266,0.4753536976343994,0,0,1,211.73168146386303,TAA>TAG,0.0
ENSP00000334452,ENSG00000186881,2.33,0.4635416666666667,1,0,0,-52.49182832233342,TAA>TGA,0.0
ENSP00000356063,ENSG00000162891,0.065,0.4757409059371593,0,0,1,-54.18517402013802,TAA>TAG,3.351458
ENSP00000363229,ENSG00000187714,0.656,0.6597873671044403,0,0,1,-44.96978777790746,TAG_stay,0.173095
ENSP00000256649,ENSG00000134253,0.176,0.5522325012789782,0,1,0,-50.489790716442485,TGA_stay,2.3040975
ENSP00000308082,ENSG00000175398,0.346,0.583864118895966,0,1,0,-48.8375384304423,TAA>TGA,0.0
ENSP00000383505,ENSG00000179023,0.421,0.6525278491859469,0,0,1,-45.54496756764315,TAG>TAA,6.8435525
ENSP00000297436,ENSG00000164822,19.7,0.5247524752475248,0,1,0,-32.25350011839831,TGA_stay,3.9235755
ENSP00000355775,ENSG00000185155,0.534,0.6568898070153568,0,1,0,-45.22756695676174,TGA_stay,0.1009215
ENSP00000320957,ENSG00000170162,0.331,0.6225541579315164,0,1,0,-47.039529702899955,TGA_stay,0.0
ENSP00000222032,ENSG00000105427,1.46,0.6430678466076696,1,0,0,-44.949261698756075,TAA_stay,0.0
ENSP00000429553,ENSG00000165066,0.006,0.6764153029632906,0,1,0,-44.84060549780148,TGA_stay,1.7728195
ENSP00000315949,ENSG00000175879,0.132,0.5451864989348228,1,0,0,-50.86396520224489,TAA_stay,1.0593315
ENSP00000347997,ENSG00000175520,0.426,0.5534168873928558,0,0,1,-50.184290582176224,TAG_stay,2.9418185
ENSP00000258083,ENSG00000135617,0.279,0.5908289241622575,0,0,1,-48.578168826063845,TAG_stay,2.5651794999999997
ENSP00000248450,ENSG00000127837,8.91,0.5844151157829461,1,0,0,-40.24771880891063,TAA_stay,0.0
ENSP00000310170,ENSG00000175592,0.656,0.6309215773731437,0,1,0,-46.32243383396742,TGA_stay,1.188469
ENSP00000328973,ENSG00000100300,23.5,0.6804244756526229,0,1,0,-21.15873633930037,TGA_stay,2.0541935
ENSP00000445626,ENSG00000135625,0,0.6843925103539483,0,1,0,-44.47279490000423,TAG>TGA,0.0
ENSP00000335094,ENSG00000186889,1.27,0.4489112227805695,0,1,0,-54.237408464264526,TGA_stay,2.398461
ENSP00000416154,ENSG00000233493,1.81,0.7984934086629002,0,1,0,-37.31604597932022,TGA_stay,0.8559464999999999
ENSP00000304858,ENSG00000172057,2.16,0.5553911596987372,0,1,0,-48.357776513689004,TGA_stay,0.0
ENSP00000379003,ENSG00000176046,20.6,0.63289340982291,0,1,0,-26.286034096727754,TGA_stay,0.48463350000000005
ENSP00000361748,ENSG00000160446,0.122,0.6508266899819773,0,0,1,-45.923683602070035,TAG_stay,0.0
ENSP00000226730,ENSG00000109471,0.514,0.3852813852813853,0,1,0,-57.97509195680694,TGA_stay,7.189823499999999
ENSP00000226730,ENSG00000109471,0.514,0.3852813852813853,0,1,0,-57.97509195680694,TAA_stay,7.189823499999999
ENSP00000321584,ENSG00000178035,234,0.521727704020312,0,1,0,181.90475961019186,TGA_stay,0.23768150000000002
ENSP00000242994,ENSG00000123307,0.041,0.49096385542168675,0,1,0,-53.49582916543201,TAG>TGA,3.2920404999999997
ENSP00000242994,ENSG00000123307,0.041,0.49096385542168675,0,1,0,-53.49582916543201,TAA_stay,3.2920404999999997
ENSP00000360918,ENSG00000138135,0.339,0.6043956043956044,0,1,0,-47.882436470140576,TGA>TAA,0.014089500000000001
ENSP00000305260,ENSG00000172354,189,0.6093655453821836,1,0,0,141.01145412931731,TAA_stay,0.0
ENSP00000296877,ENSG00000164406,74.5,0.5128205128205128,0,1,0,21.987370127377282,TGA_stay,2.1841885
ENSP00000350716,ENSG00000198680,0.876,0.7402190923317684,0,0,1,-40.98077064989569,TAG_stay,14.9029615
ENSP00000321848,ENSG00000083814,0.456,0.6126242614150468,0,1,0,-47.3798429849933,TAA>TGA,0.0
ENSP00000341987,ENSG00000187918,0,0.4941427050053248,0,1,0,-53.38786880813217,TGA_stay,1.476607
ENSP00000390011,ENSG00000142544,1.28,0.7688634192932188,0,0,1,-39.23450230201504,TAG_stay,0.6172305
ENSP00000400471,ENSG00000134291,0.373,0.5109558106622911,1,0,0,-52.22700950240331,TAG>TAA,0.980109
ENSP00000308450,ENSG00000117399,2.94,0.5746666666666667,0,1,0,-46.67452949632238,TGA_stay,0.2515925
ENSP00000282572,ENSG00000152669,0.108,0.6908184408184408,1,0,0,-44.06367687828293,TAA>TAG,5e-07
ENSP00000325076,ENSG00000254737,0.022,0.5395299145299145,1,0,0,-51.239031796898765,TAA_stay,0.0
ENSP00000467843,ENSG00000228075,0.026,0.5895953757225434,1,0,0,-48.888972698657334,TAA_stay,0.0005049999999999999
ENSP00000429216,ENSG00000253368,0.33,0.8192294461644307,0,1,0,-37.82435874658375,TGA_stay,0.34238999999999997
ENSP00000364700,ENSG00000127083,9.75,0.35308056872037913,0,0,1,-50.24801680967285,TAG_stay,0.242271
ENSP00000225899,ENSG00000108759,93.9,0.6057906458797327,0,1,0,45.74393493937609,TGA_stay,0.38855550000000005
ENSP00000292090,ENSG00000160606,1.94,0.5329054254882892,0,1,0,-49.63145424017776,TGA_stay,5.1707795
ENSP00000274849,ENSG00000146109,4.64,0.6141636141636142,0,1,0,-43.12370917387581,TGA_stay,0.0
ENSP00000264824,ENSG00000104903,0.387,0.6603940798366852,0,1,0,-45.21035732122945,TGA_stay,0.41975799999999996
ENSP00000242462,ENSG00000122859,0.415,0.6806201550387597,0,1,0,-44.23456683614892,TGA_stay,12.550703
ENSP00000340989,ENSG00000175793,205,0.6211512717536813,0,1,0,157.56373128655457,TGA_stay,0.85294
ENSP00000229903,ENSG00000112167,0.65,0.5664638300507865,0,0,1,-49.348913041697706,TAG_stay,0.0081345
ENSP00000359891,ENSG00000171307,0.054,0.5542977662041536,0,1,0,-50.51501274910599,TGA_stay,0.0
ENSP00000327786,ENSG00000182264,0.338,0.506397430187131,0,1,0,-52.475614445456735,TAA_stay,0.0
ENSP00000359212,ENSG00000138136,0.929,0.6713947990543735,0,1,0,-44.15286546730328,TGA_stay,1.421603
ENSP00000316130,ENSG00000181392,0.126,0.6285448332434247,0,1,0,-46.96380766448634,TGA_stay,0.987571
ENSP00000349967,ENSG00000121797,0.361,0.4637955842068311,1,0,0,-54.44892978907087,TGA>TAA,0.45647399999999994
ENSP00000357127,ENSG00000203757,0.308,0.44393396370291294,1,0,0,-55.43264198824053,TAA_stay,10.284561
ENSP00000313422,ENSG00000182196,16.8,0.6240894364668856,0,1,0,-30.498586808728273,TGA_stay,0.0
ENSP00000158771,ENSG00000072849,12.9,0.4826957659642792,1,0,0,-41.0242704479959,TAA_stay,0.8209344999999999
ENSP00000367952,ENSG00000165623,0.021,0.5361659390436369,0,1,0,-51.397667122886816,TGA_stay,6.358836
ENSP00000290524,ENSG00000143390,6.97,0.5538721700239346,0,0,1,-43.618956114591796,TGA_stay,0.0
ENSP00000370297,ENSG00000147869,0.373,0.5248756218905473,0,1,0,-51.57472948740044,TAA>TGA,3.306041
ENSP00000225916,ENSG00000108773,0.82,0.5566176372534818,1,0,0,-49.64030398157696,TAG_stay,0.16971150000000002
ENSP00000322524,ENSG00000179958,74.0,0.6101988304093566,0,0,1,26.05050172566135,TAG_stay,5.9418765
ENSP00000312385,ENSG00000174279,0.247,0.6974143955276031,1,0,0,-43.615591549028096,TAA_stay,1.2629535
ENSP00000233944,ENSG00000115592,0.194,0.5928503017026019,0,1,0,-48.56844741420549,TGA_stay,0.16027550000000002
ENSP00000341268,ENSG00000102871,5.04,0.6967002992839915,0,0,1,-38.85605397900351,TAG_stay,0.857689
ENSP00000377799,ENSG00000179626,0.764,0.4268817204301076,1,0,0,-55.775707242461756,TAA_stay,0.0
ENSP00000441365,ENSG00000155254,0.644,0.710727969348659,0,1,0,-42.59471971705153,TGA_stay,0.1249655
ENSP00000294189,ENSG00000162244,486,0.5377754479644142,0,0,1,434.65675419467107,TAG_stay,0.31551
ENSP00000346378,ENSG00000113108,0.363,0.5959849340955565,0,1,0,-48.2525590670306,TAG>TAA,0.0
ENSP00000346378,ENSG00000113108,0.363,0.5959849340955565,0,1,0,-48.2525590670306,TAG>TGA,0.0
ENSP00000357234,ENSG00000163467,0.002,0.48780711404473776,0,1,0,-53.68275353588157,TGA_stay,5.9482015
ENSP00000242248,ENSG00000122678,0.624,0.6514614809091539,0,1,0,-45.39193740589591,TGA_stay,0.0
ENSP00000252818,ENSG00000130522,2.93,0.7153793103448276,0,1,0,-40.09075865960518,TGA_stay,7.563445
ENSP00000299575,ENSG00000166454,0.539,0.4713818721779741,1,0,0,-53.91543760958007,TAA_stay,2.651649
ENSP00000324701,ENSG00000181541,0.179,0.612037037037037,0,0,1,-47.684360220666775,TAG_stay,0.815171
ENSP00000355692,ENSG00000162910,15.4,0.652266492539887,0,1,0,-30.578214696157858,TGA_stay,1.7145315
ENSP00000427130,ENSG00000172932,1.24,0.6375465671567156,0,1,0,-45.42798792600495,TAA>TGA,2.0635095000000003
ENSP00000377558,ENSG00000197079,34.4,0.603909274359608,0,1,0,-13.844225813902085,TGA_stay,0.0
ENSP00000262525,ENSG00000102870,0.524,0.6340996168582376,0,1,0,-46.30551143774923,TGA_stay,0.0
ENSP00000367934,ENSG00000164405,43.4,0.5140562248995983,0,1,0,-9.054724612251874,TGA_stay,2.1841885
ENSP00000384665,ENSG00000064547,0.836,0.5752698483070483,0,0,1,-48.75026450601568,TAG_stay,0.8405119999999999
ENSP00000419712,ENSG00000187616,0.004,0.5945945945945946,0,1,0,-48.67671014240623,TGA_stay,0.0
ENSP00000354566,ENSG00000198851,20.1,0.49431962427011933,0,1,0,-33.27957840111428,TGA_stay,0.82777
ENSP00000306974,ENSG00000171505,0.311,0.503466248873597,0,0,1,-52.63996910923888,TAG_stay,0.0
ENSP00000306974,ENSG00000171505,0.311,0.503466248873597,0,0,1,-52.63996910923888,TAA>TGA,0.0
ENSP00000301599,ENSG00000167874,0.57,0.6406906167979003,1,0,0,-45.95065828816053,TGA>TAA,8.9413945
ENSP00000345716,ENSG00000189134,0.131,0.47973531844499584,1,0,0,-53.931996521261425,TAA_stay,0.0
ENSP00000364016,ENSG00000204264,142,0.5480355114635448,1,0,0,91.13753904608902,TAA_stay,2.5319085
ENSP00000267294,ENSG00000139800,0.622,0.6917670682730924,0,0,1,-43.50522435516995,TAG_stay,2.4642705
ENSP00000320416,ENSG00000176428,0.066,0.7303844691569242,0,0,1,-42.251619439210664,TAG_stay,4.1736135
ENSP00000332659,ENSG00000183813,0.003,0.481994459833795,0,0,1,-53.95413353541947,TAA>TAG,0.0
ENSP00000206380,ENSG00000091947,1.06,0.6324903088972217,0,1,0,-45.84492333836645,TGA_stay,0.0
ENSP00000353796,ENSG00000144031,0.136,0.5951956886266041,1,0,0,-48.516542977077044,TAA_stay,4.0510535
ENSP00000311746,ENSG00000129451,1.1,0.635235582708507,0,1,0,-45.67628026889887,TGA_stay,0.246729
ENSP00000337056,ENSG00000129355,3.51,0.6487025948103793,0,1,0,-42.63521834486777,TGA_stay,0.067824
ENSP00000225430,ENSG00000108298,416,0.5411902276324799,1,0,0,364.8167701960803,TAG>TAA,0.092667
ENSP00000419599,ENSG00000154813,0.724,0.45765821908322946,0,1,0,-54.37352568740996,TGA_stay,3.415494
ENSP00000251412,ENSG00000037042,21.2,0.5848082595870207,0,1,0,-27.9392961563175,TGA_stay,8.477665
ENSP00000345420,ENSG00000187855,0.085,0.7222222222222222,0,0,1,-42.615100958946876,TAG_stay,0.8591655
ENSP00000357126,ENSG00000180433,0.14,0.4700218023255814,0,0,1,-54.37817025431039,TAG_stay,1.176288
ENSP00000234091,ENSG00000115738,0.626,0.5530864197530864,0,1,0,-49.99977624024242,TGA_stay,8.664996
ENSP00000323424,ENSG00000143319,3.08,0.5131826741996234,0,0,1,-49.41565905125697,TAG_stay,0.0
ENSP00000372005,ENSG00000205981,42.9,0.40362340960167054,0,1,0,-14.729587779441921,TGA_stay,0.0
ENSP00000352119,ENSG00000196787,415,0.6361323155216285,1,0,0,368.2657404800326,TGA>TAA,0.0
ENSP00000352119,ENSG00000196787,415,0.6361323155216285,1,0,0,368.2657404800326,TGA>TAG,0.0
ENSP00000358716,ENSG00000064703,34.1,0.49993161716690054,0,1,0,-19.016601357037864,TGA_stay,0.0
ENSP00000250378,ENSG00000092009,6.9,0.5381249509457656,1,0,0,-44.42686815435501,TAA_stay,8.056306
ENSP00000420384,ENSG00000077984,3.78,0.5182648401826484,0,1,0,-48.477509607324464,TGA_stay,3.7726955
ENSP00000284727,ENSG00000154518,2.2,0.48717948717948717,1,0,0,-51.51416402531771,TAA_stay,0.0
ENSP00000284727,ENSG00000154518,2.2,0.48717948717948717,1,0,0,-51.51416402531771,TGA_stay,0.0
ENSP00000330730,ENSG00000183513,5.01,0.5281081081081082,0,0,1,-46.786255726448346,TGA_stay,0.0
ENSP00000369965,ENSG00000145741,604,0.4631497110461013,0,1,0,549.159804703153,TGA_stay,1.1390325000000001
ENSP00000358424,ENSG00000203859,40.2,0.5105145291259993,0,1,0,-12.42068788103883,TGA_stay,0.980552
ENSP00000295470,ENSG00000152795,187,0.44918637660691213,1,0,0,131.5054851977997,TGA>TAA,0.1313325
ENSP00000366156,ENSG00000116649,150,0.6266270777030182,0,1,0,102.82032663315924,TGA_stay,0.0
ENSP00000296028,ENSG00000163736,2521,0.46511627906976744,1,0,0,2466.2519577502703,TAA_stay,2.794266
ENSP00000409346,ENSG00000114737,0.541,0.6143962285266633,0,1,0,-47.21180890391298,TGA_stay,0.0
ENSP00000410943,ENSG00000187189,0.64,0.5742971887550201,1,0,0,-48.99184316917325,TAA_stay,0.0
ENSP00000329735,ENSG00000185614,0.457,0.6293706293706294,0,1,0,-46.59411099673635,TGA_stay,0.0
ENSP00000372005,ENSG00000205981,42.9,0.40362340960167054,0,1,0,-14.729587779441921,TGA_stay,0.0
ENSP00000309673,ENSG00000175485,0,0.5389408099688473,1,0,0,-51.28863713763435,TAA>TGA,0.008284
ENSP00000366645,ENSG00000132631,0.028,0.49044585987261147,1,0,0,-53.533102349815174,TAA_stay,0.6201445
ENSP00000246549,ENSG00000126262,1.39,0.5901309164149043,0,0,1,-47.49987735180818,TAG_stay,0.16455099999999998
ENSP00000310127,ENSG00000126456,12.7,0.6286096295215368,0,1,0,-34.38677132178269,TAA>TGA,0.292681
ENSP00000309175,ENSG00000175376,14.9,0.5353685243336457,0,1,0,-36.55603384219554,TGA_stay,0.0
ENSP00000344504,ENSG00000189060,128,0.5675213675213675,0,1,0,78.05064298645995,TGA_stay,1.6550924999999999
ENSP00000307234,ENSG00000171815,0,0.4843304843304843,0,0,1,-53.8476678200616,TAG_stay,2.2594365
ENSP00000274063,ENSG00000145423,4.36,0.5765765765765766,0,0,1,-45.1650314388946,TAG_stay,13.7264285
ENSP00000396085,ENSG00000225781,0.448,0.5307855626326964,0,1,0,-51.2227906573587,TGA>TAA,0.5959915
ENSP00000294189,ENSG00000162244,486,0.5377754479644142,0,0,1,434.65675419467107,TAG_stay,0.31551
ENSP00000299529,ENSG00000166426,27.8,0.5908339689804221,0,1,0,-21.056932426732413,TAA>TGA,1.218979
ENSP00000366525,ENSG00000087086,157,0.5662878787878788,1,0,0,106.99284191169016,TAG>TAA,4.837311499999999
ENSP00000363394,ENSG00000158014,0.022,0.5796001169474508,0,1,0,-49.36134884520596,TGA_stay,0.216914
ENSP00000281043,ENSG00000134323,0.754,0.6246662715547653,0,0,1,-46.51755641344443,TAA>TAG,0.8435375
ENSP00000418813,ENSG00000113811,2.21,0.44220787078937995,1,0,0,-53.61152641210759,TAA_stay,0.0
ENSP00000363807,ENSG00000112473,23.1,0.5518009042017527,0,1,0,-27.58601528295359,TGA_stay,0.0
ENSP00000363807,ENSG00000112473,23.1,0.5518009042017527,0,1,0,-27.58601528295359,TGA>TAA,0.0
ENSP00000410862,ENSG00000108309,0.043,0.6082335576247176,0,0,1,-47.998590626772774,TGA_stay,0.0
ENSP00000330375,ENSG00000182585,0,0.4392324849772193,0,1,0,-55.96095249126704,TGA_stay,6.4e-05
ENSP00000217109,ENSG00000101138,46.2,0.47164028828739313,0,1,0,-8.242328274118194,TGA>TAG,0.545653
ENSP00000364257,ENSG00000188784,0.034,0.5990675990675991,0,1,0,-48.437105904466804,TAG>TAA,11.2858665
ENSP00000364257,ENSG00000188784,0.034,0.5990675990675991,0,1,0,-48.437105904466804,TAG>TGA,11.2858665
ENSP00000327889,ENSG00000185085,6.96,0.6016339869281045,0,0,1,-41.39084540059189,TAG_stay,0.8982110000000001
ENSP00000272139,ENSG00000143793,7.4,0.6502525252525253,0,1,0,-38.672588864806706,TGA_stay,1.7145315
ENSP00000254231,ENSG00000131914,7.24,0.5968253968253968,0,1,0,-41.33617512474576,TGA_stay,0.0
ENSP00000306129,ENSG00000169676,0.014,0.6094839609483961,1,0,0,-47.96899693714909,TAA_stay,0.211716
ENSP00000330721,ENSG00000184508,11.0,0.6175146741089057,0,1,0,-36.60667906796796,TGA_stay,1.2309075
ENSP00000364298,ENSG00000204315,0.699,0.559047619047619,0,1,0,-49.64743544304973,TGA_stay,0.0
ENSP00000364298,ENSG00000204315,0.699,0.559047619047619,0,1,0,-49.64743544304973,TAA_stay,0.0
ENSP00000363768,ENSG00000159189,155,0.6314363143631436,0,0,1,108.04568665488506,TAG_stay,0.5866955
ENSP00000257857,ENSG00000135404,22.4,0.5099957311378335,0,0,1,-30.244998667582927,TAG_stay,0.059384000000000006
ENSP00000310722,ENSG00000172680,0.027,0.6099903938520653,0,1,0,-47.93226557638661,TGA_stay,0.0
ENSP00000253794,ENSG00000131475,26.7,0.5538927749379726,0,0,1,-23.887990571782527,TAG_stay,0.051077
ENSP00000254803,ENSG00000132467,16.8,0.47638888888888886,0,1,0,-37.4198096479102,TGA_stay,0.0
ENSP00000358105,ENSG00000117362,2.45,0.552392578989717,0,1,0,-48.208289501817504,TGA_stay,0.538621
ENSP00000265471,ENSG00000149541,12.3,0.6149448791623253,0,0,1,-35.427099227323794,TGA_stay,0.2664435
ENSP00000358310,ENSG00000143127,0.259,0.5460051230649292,0,1,0,-50.698604613073705,TGA_stay,0.0267045
ENSP00000256261,ENSG00000133878,0.002,0.6106553641418285,0,1,0,-47.926105180353176,TGA_stay,1.5389519999999999
ENSP00000304553,ENSG00000168303,4.27,0.5925925925925926,1,0,0,-44.50452361979383,TAA_stay,0.660591
ENSP00000304553,ENSG00000168303,4.27,0.5925925925925926,1,0,0,-44.50452361979383,TGA_stay,0.660591
ENSP00000261731,ENSG00000089116,0.189,0.6476426799007444,1,0,0,-46.00588577941997,TAA_stay,0.45171049999999996
ENSP00000401767,ENSG00000229972,0.01,0.5613589567604668,0,1,0,-50.228126546234186,TGA_stay,1.8e-05
ENSP00000275169,ENSG00000146360,0.36,0.6621846167300713,0,1,0,-45.153453063295956,TGA_stay,0.0
ENSP00000361032,ENSG00000148291,6.82,0.603112840466926,1,0,0,-41.46154657227651,TAA_stay,0.0
ENSP00000261249,ENSG00000126814,2.71,0.4408856755392676,1,0,0,-53.173484259339695,TAA_stay,1.542614
ENSP00000253047,ENSG00000130748,0.998,0.7301587301587301,0,1,0,-41.33019753073176,TGA>TAG,0.0013515
ENSP00000266718,ENSG00000139329,891,0.4169124877089479,1,0,0,833.9931361875034,TAA_stay,0.562472
ENSP00000456533,ENSG00000223953,0.097,0.7118397085610201,0,0,1,-43.08962380438239,TAG_stay,2.594961
ENSP00000442339,ENSG00000205307,0.003,0.6748769574944072,0,0,1,-44.91569210796224,TAG_stay,3.5373224999999997
ENSP00000357219,ENSG00000187862,0.016,0.6163522012578616,0,1,0,-47.64515235042026,TGA_stay,0.0
ENSP00000362469,ENSG00000136856,0.288,0.6487300392961586,0,1,0,-45.85593230087606,TGA_stay,0.000991
ENSP00000294189,ENSG00000162244,486,0.5377754479644142,0,0,1,434.65675419467107,TAG_stay,0.31551
ENSP00000369559,ENSG00000167359,0,0.47619047619047616,0,1,0,-54.22910723361558,TGA_stay,2.018932
ENSP00000261249,ENSG00000126814,2.71,0.4408856755392676,1,0,0,-53.173484259339695,TAA_stay,1.542614
ENSP00000295683,ENSG00000163464,0.113,0.5280151946818613,0,1,0,-51.68760963398864,TGA>TAA,0.663349
ENSP00000356990,ENSG00000162755,0.203,0.6149530400395452,1,0,0,-47.52371680998866,TGA>TAA,3.6434385
ENSP00000219197,ENSG00000102924,0.417,0.6103921425263825,0,1,0,-47.523439701019925,TGA_stay,0.2811205
ENSP00000255030,ENSG00000132693,178,0.5106548912419779,0,1,0,125.3858894641288,TGA_stay,4.63061
ENSP00000320188,ENSG00000218891,2.2,0.7331775941514145,0,1,0,-39.98673407133925,TGA_stay,0.0
ENSP00000361569,ENSG00000188483,0.004,0.7432098765432099,0,0,1,-41.71262300433356,TAG_stay,0.15501600000000001
ENSP00000369611,ENSG00000164299,0.109,0.38505840068912484,0,0,1,-58.39054097732884,TAG_stay,1.3769635
