Gene_id,Recombination,GC3,TAA,TGA,TAG
ENSG00000146555,1.6047256565932142,71.5645712747009,0,1,0
ENSG00000175600,0.6133544805031447,49.67287870710177,0,1,0
ENSG00000002746,2.4182449401197603,64.67293405491161,0,1,0
ENSG00000196262,0.5547111538461537,57.1921189355317,1,0,0
ENSG00000164742,2.047194333333333,74.45541859811772,0,0,1
ENSG00000164916,1.508338888777051,80.55362893237552,0,1,0
ENSG00000272968,1.3082727197595792,60.475985044578664,1,0,0
ENSG00000146587,1.8066140662983428,38.74125874125874,0,1,0
ENSG00000157954,0.5698054976525821,70.22738916827936,0,1,0
ENSG00000197461,1.2201457639123106,77.18736712232368,0,1,0
ENSG00000182095,0.7449199583333332,77.69387487379043,0,1,0
ENSG00000155034,1.6053659138513514,78.24978329358183,0,1,0
ENSG00000146648,2.516028680272109,65.36573350781842,0,1,0
ENSG00000011275,0.5989688930581613,50.15708090118459,0,1,0
ENSG00000188191,1.1134317484544693,81.35028326676361,0,1,0
ENSG00000155026,4.122045999999999,50.73002766076542,0,0,1
ENSG00000122512,1.2398226799999998,48.78709398144114,0,1,0
ENSG00000086232,0.48351227659574464,53.48701910374074,0,1,0
ENSG00000008256,0.427189546460177,66.1673940149626,0,0,1
ENSG00000136238,0.28185531338028175,50.601231791964025,1,0,0
ENSG00000215045,0.20527741401273883,81.83864343514654,0,1,0
ENSG00000169902,0.27361477165354325,50.685441456840444,0,0,1
ENSG00000146576,0.491791625,75.83152826758655,0,1,0
ENSG00000198874,0.3658579897959183,47.58192426035077,0,1,0
ENSG00000205903,0.8641096519607843,72.08333333333334,0,1,0
ENSG00000164631,1.0098360857142858,45.18902241502528,0,1,0
ENSG00000183166,1.3396430150812064,71.04577743079652,0,0,1
ENSG00000106392,0.5977552225352112,32.71725012244589,0,1,0
ENSG00000215018,1.7469039081761009,39.43414316286619,0,1,0
ENSG00000177679,0.5556836153846154,82.58826800111204,1,0,0
ENSG00000164818,1.949269182379293,79.95392446374349,0,1,0
ENSG00000219545,1.9846268677988679,43.23546928647502,1,0,0
ENSG00000019991,0.8916265680000001,42.5635429583286,1,0,0
ENSG00000106415,1.6371455567940554,49.04467553171495,1,0,0
ENSG00000153956,1.9722796063249728,36.604527572707795,0,1,0
ENSG00000003147,2.116410009277155,45.849163473258315,0,1,0
ENSG00000170381,1.0843717612612611,45.31649182876352,0,1,0
ENSG00000122584,1.23863085731797,53.25653770136316,0,1,0
ENSG00000164828,1.2654411075430674,61.9429330981174,0,1,0
